tour,player,WinUFE,short_win%,long_win%,steal_droplob,BP_conv%,forces_oppUFE,adjUFE,grass_short_n,grass_long_n,grass_matches
MEN,Adrian Mannarino,0.76,50.1,48.7,16.8,39.6,2.39,18.6,1618,152,14
MEN,Alejandro Davidovich Fokina,0.78,48.3,54.5,39.7,42.7,1.17,20.9,832,55,4
MEN,Alex De Minaur,0.85,50.3,54.3,17.0,41.3,4.55,16.7,1442,184,12
MEN,Alex Michelsen,1.17,49.6,42.9,23.9,,0.9,15.1,611,35,4
MEN,Alexander Bublik,1.14,51.7,48.7,84.1,38.1,-4.07,19.9,1800,76,18
MEN,Alexander Zverev,1.16,49.0,51.3,15.5,37.1,0.19,16.6,1196,76,13
MEN,Andy Murray,0.99,52.5,48.1,34.0,36.9,2.37,16.5,1462,104,38
MEN,Arthur Fils,1.02,49.0,56.7,16.4,41.5,0.26,21.4,718,30,5
MEN,Arthur Rinderknech,1.19,48.5,62.9,32.7,,-4.87,17.7,878,35,5
MEN,Botic Van De Zandschulp,0.79,51.8,69.4,33.6,37.8,-0.59,20.3,749,36,5
MEN,Brandon Nakashima,1.25,50.0,45.6,17.6,37.8,-0.78,14.8,1127,90,6
MEN,Cameron Norrie,0.93,44.5,52.9,21.3,42.7,1.43,17.1,546,34,6
MEN,Carlos Alcaraz,1.18,52.1,55.3,44.5,41.0,1.01,17.1,3747,215,22
MEN,Cristian Garin,0.8,46.9,55.3,19.4,35.8,0.9,19.7,431,47,2
MEN,Daniil Medvedev,1.17,50.9,52.7,25.2,44.5,3.24,15.5,3129,292,27
MEN,David Goffin,0.89,48.6,42.9,16.3,39.8,1.81,17.9,664,42,8
MEN,Emil Ruusuvuori,0.66,49.2,48.4,14.3,36.8,4.23,21.0,752,62,5
MEN,Felix Auger Aliassime,1.02,49.9,37.5,16.2,34.1,-2.15,19.4,1318,40,9
MEN,Giovanni Mpetshi Perricard,1.56,50.4,40.8,22.6,,-8.05,18.7,1140,49,6
MEN,Grigor Dimitrov,1.01,55.5,57.5,14.8,38.9,0.55,18.0,862,40,18
MEN,Holger Rune,1.02,47.6,46.2,39.8,40.0,-0.75,18.2,800,39,5
MEN,Hubert Hurkacz,1.02,52.0,45.1,35.4,35.2,-0.52,17.7,4528,144,31
MEN,Jannik Sinner,1.06,53.3,56.7,18.9,43.2,2.83,16.6,5219,326,33
MEN,Jenson Brooksby,0.81,49.9,65.7,29.5,42.1,3.7,15.1,389,35,3
MEN,Joao Fonseca,1.22,53.7,45.2,21.6,36.5,-0.9,17.7,505,31,3
MEN,Jordan Thompson,0.92,47.5,41.7,22.2,,1.11,17.2,693,60,5
MEN,Kamil Majchrzak,,53.7,54.5,,,,,531,33,3
MEN,Laslo Djere,0.78,47.4,53.8,18.3,36.4,-0.14,21.6,430,39,2
MEN,Lorenzo Musetti,1.0,50.1,50.3,48.2,40.4,3.11,15.8,1874,173,13
MEN,Lorenzo Sonego,1.04,48.1,46.7,48.3,32.2,-1.28,17.8,894,60,5
MEN,Mackenzie Mcdonald,0.86,49.7,56.8,23.9,,0.46,16.7,638,44,3
MEN,Marton Fucsovics,0.82,47.8,51.5,22.7,39.1,3.12,18.5,745,66,4
MEN,Matteo Berrettini,1.16,52.4,48.4,34.4,39.3,-1.09,18.5,2394,95,20
MEN,Max Purcell,,45.6,48.8,,,,,539,43,3
MEN,Maxime Cressy,,51.1,50.0,,,,,1738,30,10
MEN,Miomir Kecmanovic,1.07,43.9,37.5,23.6,37.8,2.3,14.0,412,32,5
MEN,Nick Kyrgios,1.48,52.2,49.1,33.5,41.5,-3.96,16.5,2242,108,22
MEN,Nicolas Jarry,1.12,51.9,45.2,14.3,31.5,-4.32,22.8,745,31,4
MEN,Novak Djokovic,1.09,54.0,54.4,27.2,41.7,1.67,15.2,3222,281,58
MEN,Paul Jubb,,49.7,56.2,,,,,533,32,2
MEN,Richard Gasquet,1.19,44.7,41.9,24.6,26.5,0.84,14.4,619,31,13
MEN,Roberto Bautista Agut,0.96,46.8,55.4,23.1,37.7,3.81,15.3,664,92,11
MEN,Roger Federer,1.18,52.4,48.5,19.0,35.4,-0.68,16.3,881,33,119
MEN,Roman Safiullin,0.83,48.5,48.9,21.8,,-0.05,21.1,410,47,2
MEN,Sebastian Korda,0.96,50.9,52.9,17.9,38.1,-1.8,19.1,1232,68,8
MEN,Stefanos Tsitsipas,1.17,47.8,52.5,31.0,38.6,-0.46,16.1,1493,61,12
MEN,Taylor Fritz,1.28,53.5,46.5,19.6,38.5,0.51,15.7,2511,155,16
MEN,Tim Van Rijthoven,1.0,52.4,53.1,27.1,,-2.92,18.4,1094,49,7
MEN,Tommy Paul,1.02,48.6,47.3,15.4,39.3,0.97,17.9,1549,93,11
